timestamp,open,high,low,close,volume
2025-10-03 13:30:00+00:00,25133.5,25146.0,25120.75,25127.75,3751
2025-10-03 13:31:00+00:00,25128.75,25159.75,25121.25,25158.75,3161
2025-10-03 13:32:00+00:00,25159.0,25165.0,25146.25,25148.5,2553
2025-10-03 13:33:00+00:00,25149.0,25154.5,25132.75,25145.75,1930
2025-10-03 13:34:00+00:00,25146.25,25149.75,25135.75,25145.25,1250
2025-10-03 13:35:00+00:00,25145.5,25153.75,25135.5,25137.25,1356
2025-10-03 13:36:00+00:00,25137.0,25148.25,25132.25,25143.5,1460
2025-10-03 13:37:00+00:00,25144.0,25155.5,25141.75,25151.25,1457
2025-10-03 13:38:00+00:00,25151.25,25161.0,25149.75,25159.0,1237
2025-10-03 13:39:00+00:00,25158.75,25161.5,25149.0,25159.5,1332
2025-10-03 13:40:00+00:00,25159.0,25165.5,25153.75,25157.5,1528
2025-10-03 13:41:00+00:00,25158.0,25160.0,25116.25,25124.5,4327
2025-10-03 13:42:00+00:00,25124.5,25131.25,25113.5,25122.5,1936
2025-10-03 13:43:00+00:00,25123.0,25133.0,25122.0,25130.0,1044
2025-10-03 13:44:00+00:00,25130.0,25138.5,25128.75,25132.5,984
2025-10-03 13:45:00+00:00,25133.75,25141.0,25125.5,25138.0,917
2025-10-03 13:46:00+00:00,25138.75,25147.0,25134.75,25145.25,1079
2025-10-03 13:47:00+00:00,25144.75,25158.0,25140.75,25153.25,1587
2025-10-03 13:48:00+00:00,25152.75,25156.5,25142.0,25152.75,1153
2025-10-03 13:49:00+00:00,25152.5,25154.75,25147.25,25151.5,740
2025-10-03 13:50:00+00:00,25151.5,25155.5,25138.0,25148.0,1116
2025-10-03 13:51:00+00:00,25147.5,25158.5,25144.5,25156.5,1066
2025-10-03 13:52:00+00:00,25156.75,25161.75,25146.25,25161.25,1394
2025-10-03 13:53:00+00:00,25161.0,25168.0,25154.75,25157.0,1439
2025-10-03 13:54:00+00:00,25157.5,25157.5,25135.5,25137.5,1464
2025-10-03 13:55:00+00:00,25137.5,25138.25,25116.25,25122.25,1976
2025-10-03 13:56:00+00:00,25121.75,25129.75,25106.0,25107.5,1904
2025-10-03 13:57:00+00:00,25107.75,25117.25,25107.75,25114.75,1220
2025-10-03 13:58:00+00:00,25114.5,25114.5,25100.75,25103.25,1425
2025-10-03 13:59:00+00:00,25103.75,25112.0,25103.5,25105.75,917
2025-10-03 14:00:00+00:00,25105.75,25108.5,25076.5,25088.5,3733
2025-10-03 14:01:00+00:00,25087.75,25089.75,25064.75,25080.5,3140
2025-10-03 14:02:00+00:00,25081.25,25088.5,25068.0,25075.0,1824
2025-10-03 14:03:00+00:00,25075.5,25084.0,25066.5,25076.25,1567
2025-10-03 14:04:00+00:00,25074.75,25089.5,25074.5,25085.5,1344
2025-10-03 14:05:00+00:00,25085.5,25086.5,25076.0,25081.75,968
2025-10-03 14:06:00+00:00,25082.25,25086.0,25071.25,25080.75,1326
2025-10-03 14:07:00+00:00,25080.0,25088.75,25078.5,25083.25,1024
2025-10-03 14:08:00+00:00,25082.0,25082.0,25058.5,25061.5,2186
2025-10-03 14:09:00+00:00,25061.5,25074.25,25051.0,25073.75,2798
2025-10-03 14:10:00+00:00,25074.0,25077.25,25068.0,25075.0,1179
2025-10-03 14:11:00+00:00,25075.25,25075.75,25057.0,25066.25,1635
2025-10-03 14:12:00+00:00,25065.75,25080.25,25063.0,25079.5,1028
2025-10-03 14:13:00+00:00,25079.75,25087.5,25077.0,25079.25,1793
2025-10-03 14:14:00+00:00,25078.25,25080.5,25068.5,25076.0,1294
2025-10-03 14:15:00+00:00,25076.0,25089.0,25074.25,25082.0,1245
2025-10-03 14:16:00+00:00,25082.0,25100.75,25081.5,25098.0,2165
2025-10-03 14:17:00+00:00,25097.75,25098.75,25086.0,25091.75,1263
2025-10-03 14:18:00+00:00,25092.0,25092.0,25077.75,25082.25,1357
2025-10-03 14:19:00+00:00,25082.5,25085.25,25071.5,25074.5,913
2025-10-03 14:20:00+00:00,25074.5,25083.25,25069.75,25078.0,1122
2025-10-03 14:21:00+00:00,25077.75,25083.5,25068.75,25073.0,1044
2025-10-03 14:22:00+00:00,25073.75,25077.25,25065.0,25076.25,1092
2025-10-03 14:23:00+00:00,25075.75,25079.5,25062.25,25062.75,1127
2025-10-03 14:24:00+00:00,25063.25,25081.25,25059.25,25079.0,1345
2025-10-03 14:25:00+00:00,25079.0,25084.75,25072.0,25084.25,1424
2025-10-03 14:26:00+00:00,25083.75,25109.0,25082.75,25094.75,3023
